id,text,class
0,交行14年用过，半年准备提额，却直接被降到1Ｋ，半年期间只T过一次三千，其它全部真实消费，第六个月的时候为了增加评分提额，还特意分期两万，但降额后电话投诉，申请提...,0
1,单标我有了，最近visa双标返现活动好,1
2,建设银行提额很慢的……,0
3,我的怎么显示0.25费率，而且不管分多少期都一样费率，可惜只有69k,2
4,利率不错，可以撸,1
5,不能??好像房贷跟信用卡是分开审核的反正我的不得,2
6,我感觉这样才是合理的，花呗白条没要那么多信息，照样可以给额度。有征信威慑，没那么多人敢借了不还。与其眉毛胡子一把抓，还不如按额度区间对客户进行不同程度的调查，免...,2
7,羡慕，可能上个月申请多了。上月连续下了浦发广发华夏交通。这个月申请建行，农业??邮储各种秒拒，买了点建行理财，3个月后在看...,0
8,这个短债只是用来提升信誉刷建行预审批的，又不是什么赚钱的基金。也只有建行有卖，我买过，不但不赚钱还会亏本的。...,0
9,打电话问中信信用卡为啥没批呗,2
10,这几天也接到了建行的分期电话，让我1.6分12期，跟他说5000，3期，意思意思。快两年了还没首提，心塞,0
11,我是建行贷款，别的银行信用卡没还，账单大概4w,2
12,微粒贷，借呗，这些也是多头的因素。因为这些都上征信。我两行卡，都是多头。因为我也是有使用微粒贷，花呗，借呗，白条。查征信显示这些全部上征信了。...,2
13,别急。说不准的。第一次过的时候也审核了十几天。不过最后全额度通过。利息高就没用,2
14,银行耍无赖啊,0
15,当然是拿来买基金啊，白嫖多香。,1
16,都是褥羊毛而已，生不了钱，日常薅羊毛还是很开心的哦,1
17,讨厌一天到晚做广告的ID,0
18,晒晒“断”卡，我的招行卡猫咪卡,2
19,交行_197k　民生_217k　中行_125k　工行_158k,2
20,工商84000,2
21,招行15.0W,2
22,还是我主动去手银申请的,2
23,江西银行100K兴业115K,2
24,已经成功拿下农行信用卡首卡，开心一下,1
25,我4星加常年10几个小砖，他拒我76次，最近一年流水大概700多万吧，没见过那个预审批额度出来，我还是白户呢，应该不存在卡多问题，也没有贷款逾期，申什么拒什么，估计没人...,0
26,申请普卡呢？或者把你单位类型包装一哈。,2
27,版主辛苦！为什么有的人可以全额现金分期，我只能分一半，是卡种不同，还是怎么着，望指教，感谢！,2
28,建行居然永远不算新户？怪不得多少年了积分还在,2
29,兴业pass金67k,2
30,201305招商银行201501建设银行,2
31,班主大人，没有临时额度是不是点固定肯定是凉凉？代码r52,2
32,发过授信的帖子，销卡，搬砖。,2
33,已经7行9张卡，怕消了不给下,2
34,中信34K（淘宝V、i白、lu.xu.ry）,2
35,唯一一张万年不提万元以下的卡是建行的,2
36,建行的提额，所有人都很迷糊。,0
37,七八年了农行还是6千，别的行7万多的都有了,0
38,是啊，都差不多，建行的小套路，没个七八顿的饭局，看来是问不出来了。,0
39,3天前申请，无征信获批，浦发,2
40,是不是呀，买银行的理财还是要用心选的,2
41,我这里的建行想办大额，看重的最容易的就是房产证,2
42,下了，50k额度,2
43,后面额度不知道好提不，据说5万以上不会提额，困难,0
44,恭喜下卡坐等额度,1
45,预审额度多少下了5万,2
46,是那个信用卡预审批额度吗，我看了下6000,2
47,6000下了5万？真牛??是在网上申的,2
48,说下你的社保和公积金，看到你的情况，让我有试一试的冲动了,2
49,半步封神的额度，离80K的大山也不远了，弄的可以,2
50,我建行卡上学时候办的，到现在十年了，5千额度没提过,2
51,快E贷不是快贷吧？,2
52,看到额度没啥惊喜可言,2
53,二卡？额度这么高,2
54,首卡，额度可以了,2
55,还可以养，我交通就是被我养起来的,2
56,我准备半年后下二卡支付白,2
57,额度太低了，小贱提额太难了,0
58,消了，别犹豫。,2
59,能下就好，我被贱贱拒了四年还在拒,0
60,我是经历过了，下卡1年连临时额度都没有，一个贷后也没有，直接注销了,2
61,嗯，是，我的建行卡，2次提额，还是赶上活动放水普提。现在到30k，躺着不动了,2
62,那好像是1万吧！刚毕业都是，中信稍微高点吧,2
63,我下卡5千，五年多了，都没有动静。这个额度也是没谁了,0
64,我第一张是ETC，后面下了支付白，汽车卡，额度也一点没给我提,0
65,牛车，我的车贷还完了,2
66,能下卡的都是优质客户！,2
67,没什么用提额照样拒绝,0
68,我不相信钛金大佬都二卡了还不知道怎么查额度。“卡服务”里面“额度调整”自己所有建行信用卡都会显示呀,2
69,问题是怎么解决5万以上的后续问题呢？达不到10万都是弟弟，至少工商有大概率可以获得10万的，建设的话，大白山有点累...,0
70,全球支付,2
71,留V，想知道你的建行大额卡咋办的,2
72,全球支付v主吗还是全球支付银联,2
73,v，多交流交流经验，基金是咋赚钱的啊,2
74,有房贷征信上能查到吧，或许房产证还能有些用，发票不一定能行，我昨天工行首卡也拒了，也想着重新去线下提供购房发票试试，感觉有点靠不住...,0
75,"看自己需求啊,带娃吃饭啥的，就办招行的，每周三都有活动",2
76,今天用了，秒批，平安的哦,1
77,我的利率1.8，有4W4的额度，卡发工资就是借不出来说多头授信哈哈,2
78,1.8是什么神仙信用卡啊,2
79,一直没有额度，是不是要在京东买点理财或者建行买点理财才能出额度？,2
80,批了不代表有水啊！,2
81,我也是4号申请的，还在审批,2
82,征信花了？,2
83,目前有4万多快贷，7行信用卡。,2
84,建行app我刚看完10k没啥惊喜,2
85,我今天也跟风，批了46k。额度调整哪里可以看到,2
86,如果你是六七行以上并且征信带点小花下卡的有可能是放水！,2
87,建行的预审批，可信度有多高？目前有4万多快贷，7行信用卡。微信查有3万预审批额度，不知推倒小贱的概率有没有30%,2
88,没有完整卡号，注册不了手机银行，看不了,2
89,建行有公积金贷款能下吗,2
90,行多了也不好下,2
91,看了建行是你的真爱了！不过建行确实好用！,1
92,Giao就完了，提额肯定是有希望的,2
93,要不隔半年再试试。到时候额度会高些,2
94,又拒了,2
95,我也是，收了一笔款就变成这样了，额度瞬间就爆了,2
96,你收的什么款？工商银行？,2
97,建行今天一大堆这样的??不懂要干什么??估计都得去柜台取钱销卡了,0
98,流水是不是很多,2
99,流水一个月有多少,2
100,你怎么也知道今天一大堆这样的,2
101,收款还是用信用社这种小地方的卡,2
102,就别人的转账啊，才800多块，金额也不大,2
103,信用社的卡不容易风控？,2
104,我打客服电话问了，客服说很多人打电话说储蓄卡被封了，我的也是和你的一样，只能去柜台了,0
105,你好请问你的钱取出来了吗，哈焦虑,0
106,早就解封了，平安的还是靠谱的,1
107,请问是去柜台取的吗麻烦你了,2
108,不是取钱，我是去柜台解封，要到开户行才能解封,2
109,你好请问你的取出来了吗，我的没有，心烦,0
110,请问招商银行申请办理信用卡需要什么条件,2
111,我下卡从来没提过额度，成功不成功点了才知道,2
112,都可以，你可以尝试申请。没成功也无所谓啊,2
113,这次坑定了,0
114,"本来按理来说是妥妥的建行幼稚客户啊，唯一的可能就是卡多了，小贱应该在行数少的时候申请，你这个预审批很高了。我代发工资每月才4k,秒批。第二行，卡还没到不知道怎么查...",2
115,应该可以吧，我的资质一般，刚毕业2年，招行卡2万额度,2
116,这资质八成能过，额度还不会低的,2
117,这个走线下完全没有问题！没必要走线上，额度还是有的,2
118,金卡都被拒了……不知道为啥,0
119,这不科学，一般人浦发信用卡都是3万额度起呀,0
120,基本能过，兴业的卡是非常好批的,1
121,应该是当地银行的问题??要线下必须要面签比如工商银行,2
122,炫富！建行看不下去，拒绝了,2
123,提前恭祝楼主下卡，下来了，通知一下，我好看看有没有水，好嘛,1
124,我前面贴图了，金卡都被拒了，百思不得其解,2
125,这都要拒，贱行真是个奇葩行,0
126,线下申请给的资料也是一样的啊……难道线下有加成？标准都是一样的吧,2
127,签约分行是工作地的吗，是的工作地的，工商银行哦,2
128,主要是你太优秀了，人工审批的那个哥们还是妹子看你不顺眼！你这么好的资质申请个毛的信用卡！所以拒绝你了,0
129,这有啥炫富的……都不算幼稚客户，建行有房贷基本都是5星……,2
130,我有建行房贷三星,2
131,房贷还了多久？估计和我一样满两年才能下卡,2
132,可以线下试试大山白,2
133,可以线下去申请中信银行的信用卡，比较好申请,2
134,线下去申，资料带齐，秒批，浦发就是,2
135,去网点申请，直接就给你批了。别网申啊，兴业就是,2
136,以前工资代发，JOY白下卡1.8，几年没升过,2
137,大山白暂时用不到权益，年费我也吃不消,2
138,年费积分免啊，你可以下来了在申请别的卡销大山,2
139,哈哈，我没有预审批，代发社保公积金，6行批的，老哥命苦,2
140,农行刷免精粹白100K,2
141,不低了，有这实力当时如果直接申请大山白，估计可以下8万,2
142,低了，不符合你的身份。注销申请大山,2
143,后悔了，当时不懂，乱申请的，当时都不知道大山白,2
144,大山白还要操心年费，像我交过一次1800后就消了。,2
